fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.90017,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.90433,0.00982,0.01,0.92051,0.00049,2.84143,0.8,8.2131,0.5,1.36378,0.015,0.7,0.4,0.0,0.10603,0.42467,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.9066,0.01043,0.01139,0.92051,0.00049,3.48651,0.85926,8.04121,0.3863,1.01438,0.015,0.84128,0.25074,0.0,0.12691,0.42467,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.90471,0.01317,0.01346,0.89848,0.00049,3.12327,0.92604,7.66701,0.34105,1.12648,0.01729,0.9,0.24904,0.0,0.1864,0.43889,0.0,0.0,0.0,0.56297,0.95662,0.0,0.0
0.90058,0.00815,0.01139,0.95691,0.00049,3.02731,0.95,8.49009,0.36443,1.01438,0.01595,0.84128,0.24219,0.0,0.12691,0.3484,0.0,0.0,0.0,0.65496,0.87622,0.0,0.0
0.90161,0.01043,0.01175,0.9397,0.00049,3.48651,0.8918,8.16842,0.40385,1.08112,0.01377,0.80394,0.24859,0.0,0.12948,0.41252,0.0,0.0,0.0,0.5,0.97255,0.0,0.0
0.90592,0.00985,0.00934,0.90598,0.00048,2.91456,0.8,8.47305,0.47086,1.3203,0.01542,0.65581,0.3941,0.0,0.11253,0.37819,0.0,0.0,0.0,0.45166,1.0,0.0,0.0
0.9064,0.00945,0.00978,0.90687,0.00052,2.8132,0.6176,7.25599,0.40173,1.32341,0.0129,0.75173,0.3941,0.0,0.10689,0.37255,0.0,0.0,0.0,0.44676,0.93288,0.0,0.0
0.90363,0.01043,0.01143,0.91961,0.00049,3.48651,0.86133,7.99739,0.38375,1.0224,0.015,0.84128,0.25235,0.0,0.12627,0.42467,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.89358,0.00945,0.00978,0.90687,0.00045,2.82206,0.66026,6.86879,0.36531,1.14238,0.0129,0.77001,0.37261,0.0,0.10689,0.32699,0.0,0.0,0.0,0.46856,0.98041,0.0,0.0
